 ,Canonical Smiles,Activity,Confidence,Within AD
0,CC(=O)NC(c1cc(Cl)c2cccnc2c1O)C(C)C,active,0.666667,True
1,O=C(CCC(=O)Nc1ccc(Br)cc1)N/N=C/c1ccccc1O,active,0.606667,True
2,COc1cc(/C=C2\CC(C(C)(C)C)C/C(=C\c3cc(OC)c(OC)c(OC)c3)C2=O)cc(OC)c1OC,active,0.653333,True
3,CCN(CC)CCNC(=O)c1ccc(NC(=O)C2CCN(c3ncnc4sc(C)c(C)c34)CC2)cc1,active,0.533333,True
4,O=C(N/N=C/c1cc(Br)ccc1O)C(c1ccncc1)N1CCOCC1,active,0.566667,True
5,COc1cc(Br)cc(/C=N/NC(=O)C(C)n2cc([N+](=O)[O-])c(OC)n2)c1O,active,0.553333,True
6,Cn1nc(C(F)(F)F)c(C#N)c1N1CCN(c2ccccc2)CC1,inactive,0.533333,True
7,Cc1ccc(N(Cc2cc(O)nc3ccccc23)C(=O)CCl)c(C)c1,inactive,0.513333,True
8,O=C(Nc1cccc(Cl)c1)Nc1nnc(-c2ccncc2)s1,active,0.560000,True
9,Cc1ccccc1/C(O)=C(\C#N)N=Nc1c(C)n(C)n(-c2ccccc2)c1=O,active,0.506667,True
10,CC(=O)N1CCN(c2ccc(Oc3ncnc4sccc34)cc2)CC1,active,0.573333,True
11,S=C(Nc1ccccc1)Nc1ccc(OCc2ccc(Cl)cc2Cl)cc1,active,0.840000,True
12,C=C1C(=O)[C@@]23C[C@@H]4[C@@H]5[C@@]6(C)CCC[C@@]57[C@@H]2[C@@H](O)[C@@H]1C[C@H]3[C@H]7N4C6,active,0.640000,True
13,CCCCN(CCCC)c1[nH]cnc2ncnc1-2,active,0.680000,True
14,O=C(Nc1cccc2c1CCCC2)c1cc([N+](=O)[O-])ccc1Cl,inactive,0.766667,True
15,O=[N+]([O-])c1ccc(N(CCO)CCO)c2c1no[n+]2[O-],inactive,0.640000,True
16,O=C(Nc1cccc(C(F)(F)F)c1)Nc1nnc([C@@H]2C[C@H](O)[C@@H](CO)O2)s1,active,0.513333,True
17,COc1cccc2c1C(=N)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,active,0.753333,True
18,NC(=S)NN=Cc1nccc2ccccc12,active,0.686667,True
19,O=C(c1ccncc1)N(Cc1cc2ccccc2nc1O)C1CCCCC1,active,0.566667,True
20,C=CCN1C(=O)NC(=O)/C(=C(/C)NCc2cc(OC)cc(OC)c2)C1=O,active,0.526667,True
21,COc1cc(OC)c2cc(C(=O)N/N=C/c3cccc(OC)c3O)[nH]c2c1,active,0.726667,True
22,O=C(Nc1nc(-c2ccccn2)cs1)c1cccc(S(=O)(=O)N2CCOCC2)c1,active,0.533333,True
23,CC(C)n1c(-c2cccnc2)nc2cnccc21,active,0.520000,True
24,c1cnc2ccc(-n3ccnc3)cc2c1,inactive,0.566667,True
25,O=C(N/N=C/c1ccc(O)cc1O)/C(=C/c1ccccc1)CCO,active,0.700000,True
26,N#Cc1cc2ccncc2c2ccccc12,active,0.686667,True
27,Cc1cc(C)nc(SCc2ccc(C(=O)N/N=C/c3cccc(O)c3O)cc2)n1,active,0.620000,True
28,O=C(NC1CCCCC1)C(c1cccnc1)N(C(=O)CCl)c1cccc(Cl)c1,inactive,0.626667,True
29,COc1ccc(/C=C2\CC/C(=C\c3ccc(OC)c(OC)c3)C2=O)cc1OC,active,0.713333,True
30,CCOc1cccc(/C=N/NC(=O)c2cccnc2)c1O,active,0.653333,False
31,Cc1ccc(C)c(NC(=O)c2ccccc2NS(=O)(=O)c2cc([N+](=O)[O-])ccc2C)c1,inactive,0.593333,True
32,CC(=O)NC(c1cc(Cl)c2cccnc2c1O)C1CC1,active,0.626667,True
33,COc1ccc(Nc2ncnc3ccc(C)cc23)cc1,active,0.733333,True
34,NC(=S)NN=Cc1nccc2c(N)cccc12,active,0.800000,True
35,O=C(CCC1CCCC1)Nc1ccc(C(=O)NCc2cccnc2)cc1,active,0.833333,True
36,CCOC(=O)c1cccc2c1-c1ccccc1/C2=N/O,active,0.660000,True
37,C=CCn1c(Oc2ccccc2F)nc2c1c(=O)n(C)c(=O)n2C,active,0.560000,True
38,CNc1ncnc(Sc2nc(N)nc3[nH]cnc23)c1[N+](=O)[O-],active,0.606667,True
39,Cc1cc(O)nc(Nc2cccc(Br)c2)n1,active,0.546667,True
40,COC(CN(C(=O)CCl)C(C(=O)NC1CCCCC1)c1ccccc1C)OC,inactive,0.660000,True
41,COc1cc2c(cc1OC)C(C)N(C(=O)c1cccc([N+](=O)[O-])c1)CC2,inactive,0.620000,True
42,Fc1ccc(CSc2nnc(-c3ccncc3)o2)cc1,active,0.546667,True
43,COc1cc(/C=C2\SC(N)=NC2=O)cc(OC)c1,active,0.686667,True
44,CCCCC(=O)OCC(=O)C1(O)Cc2c(O)c3c(c(O)c2C(OC2CC(NC(=O)C(F)(F)F)C(O)C(C)O2)C1)C(=O)c1c(OC)cccc1C3=O,active,0.546667,True
45,c1cc2[nH]c(C3CC3)nc2c2nsnc12,active,0.546667,True
46,Cc1c2ccncc2cc2c1[nH]c1ccccc12,active,0.693333,True
47,Cc1nc2c(-c3ccc(Cl)cc3)c(C)nn2c(O)c1Cc1ccccc1,inactive,0.533333,True
48,COc1ccccc1-c1cc2nc(-c3ccccc3)cc(N3CCN(C(=O)c4ccco4)CC3)n2n1,inactive,0.573333,True
49,Cn1nc(C(F)(F)F)c(C#N)c1N1CCN(c2ccc(F)cc2)CC1,inactive,0.546667,True
50,COc1cc(C(=O)N/N=C(\c2ccccc2)c2ccccn2)cc(OC)c1OC,active,0.700000,True
51,Cc1ccc(/C=C2\SC(=S)N(CCCC(=O)NC3CCCC3)C2=O)cc1,active,0.666667,True
52,COc1ccccc1N(C(=O)CCl)c1cn(C(C)=O)c2ccccc12,inactive,0.533333,True
53,O=C(N/N=C/c1ccccc1O)/C(=C/c1ccccc1)CCO,active,0.686667,True
54,CC1(C)Cc2c(ccc3ccccc23)C(=O)N1,active,0.666667,True
55,CN(C)c1ccc(Nc2ncnc3ccc(Br)cc23)cc1,active,0.866667,True
56,O=C(CCCOc1ccc(Cl)cc1Cl)N/N=C/c1ccccc1O,active,0.660000,True
57,C=CCNc1ncnc2ccc(Br)cc12,active,0.800000,True
58,Cn1c(=O)c2nc(COc3ccc(C(C)(C)C)cc3)[nH]c2n(C)c1=O,active,0.733333,True
59,CCN(c1ccccc1)S(=O)(=O)c1cc(C(=O)Nc2ccc(Br)cc2)ccc1F,active,0.546667,True
60,COc1ccc2ncn(-c3ccccc3)c2c1,active,0.653333,True
61,COC(=O)c1cccc2c1-c1ccccc1/C2=N/O,active,0.660000,True
62,CCCS(=O)(=O)c1c(S(=O)(=O)CCC)c2c(C)cccn2c1C(=O)N/N=C/c1cc(O)cc(O)c1,inactive,0.520000,True
63,CCCCCc1c(-c2ccc(OC)c(OC)c2)ncn1CCc1ccccc1OC.O=C(O)C(F)(F)F,inactive,0.553333,True
64,Cc1ccc(S(=O)(=O)c2ccc([N+](=O)[O-])o2)cc1,inactive,0.560000,True
65,O=[N+]([O-])c1ccc(O)c2ncccc12,inactive,0.520000,True
66,O=C(Nc1ccccc1Cl)/C(Cl)=C(\Cl)[S+]([O-])c1ccccc1,active,0.526667,True
67,CCc1cc(OCCCSc2nc(C)cc(O)n2)ccc1Cl,active,0.546667,True
68,Cc1cccc(Cc2cnc(N3C(=N)SC(C)C3=O)s2)c1,active,0.566667,True
69,COc1ccc(NC(=O)/C(Cl)=C(/Cl)[S+]([O-])Cc2ccccc2)cn1,active,0.646667,True
70,Cc1c(Cl)ccc2sc(N3CCN(C(=O)C4=COCCO4)CC3)nc12,inactive,0.613333,True
71,Cc1ccc(S(=O)(=O)N2[C@@H](c3ccc(Cl)cc3)C(C(=O)O)=CC[C@H]2c2ccc(C(C)C)cc2)cc1,active,0.553333,True
72,CCCCCCCCCCCCN1[C@@H](CC(=O)O)c2cc(C(F)(F)F)ccc2S1(=O)=O,active,0.593333,True
73,Cc1cccc(NS(=O)(=O)c2ccc(-c3cnc(C4CC4)o3)cc2)c1C,active,0.593333,True
74,CC(=O)c1c(C)[nH]c(C(=O)OCC(=O)c2ccc(Br)cc2)c1C,active,0.580000,True
75,COc1cccc(N2CCN(c3nc(O)cc(-c4ccccc4C)n3)CC2)c1,inactive,0.540000,True
76,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(N)cccc3nc2-1,active,0.953333,True
77,NS(=O)(=O)c1ccc(CCNc2nn3c(-c4cccc(OC(F)(F)F)c4)cnc3s2)cc1,inactive,0.566667,True
78,Clc1ccc(-n2ncc3c(N4CCCCCC4)ncnc32)cc1,active,0.593333,True
79,N#C/C(=C\c1ccc(Sc2nc3ccccc3[nH]2)o1)c1ccccc1,active,0.606667,True
80,Nc1nc(N)nc(-c2cc(O)ccc2O)n1,active,0.646667,True
81,CCCCC[C@@H]1C=C(C(=O)O)[C@H](c2ccc(Cl)c(Cl)c2)N1S(=O)(=O)c1ccc(C)cc1,active,0.600000,True
82,Cc1cc(C(=O)Nc2ccc(Cl)cc2)c(C)n1-c1ccccc1,active,0.800000,True
83,Cc1nc2ccc(S(=O)(=O)Nc3cccc(-c4nc5cccnc5s4)c3)cc2s1,active,0.560000,True
84,O=[N+]([O-])c1ccc(NS(=O)(=O)c2ccccc2)c(Cl)c1,inactive,0.593333,True
85,CC(C)n1c(/C=C/C(O)CC(O)CC(=O)[O-])c(-c2ccc(F)cc2)c2ccccc21.[Na+],inactive,0.506667,True
86,CSC(=Nc1ccccc1)N=C(SCc1ccccc1)N(C)C.I,active,0.560000,True
87,O=C1C=CC2(O[C@H](c3ccccc3)[C@@H](c3ccccc3)O2)[C@H](Sc2ccccc2O)C1,active,0.586667,True
88,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(C)=O)CC3OC1CC(N(C)C)C(O)C(C)O1,active,0.740000,True
89,N=C1SCC(=O)N1c1ncc(Cc2cccc(Cl)c2)s1,active,0.520000,True
90,FC(F)Sc1ccc(NC(=S)N2CCN(c3ccccn3)CC2)cc1,active,0.560000,True
